,voltage,test_time,current,internal_resistance,charge_capacity,discharge_capacity,charge_energy,discharge_energy,temperature,cycle_index,cycle_type,step_index,step_index_counter,step_type,discharge_dQdV,charge_dQdV
16121,4.053771,715296.9995290581,-0.011993591,0.0,0.2578448816,0.05269690624502425,0.9873879333,0.22141316383021392,,1,rpt_0.05C,13,2,1,-0.19876048,0.0
16122,4.050983,715463.4352039793,-0.011987811,0.0,0.2578448816,0.053251001441832,0.9873879333,0.22365858357661783,,1,rpt_0.05C,13,2,1,-0.18489738,0.0
16123,4.0481954,715618.2619601703,-0.011980165,0.0,0.2578448816,0.05376644972311939,0.9873879333,0.22574595084450316,,1,rpt_0.05C,13,2,1,-0.19933295,0.0
16124,4.045408,715785.1767764098,-0.011948336,0.0,0.2578448816,0.0543221408530174,0.9873879332999999,0.22799474004407075,,1,rpt_0.05C,13,2,1,-0.18221882,0.0
16125,4.0426197,715937.7611147293,-0.011970703,0.0,0.2578448816,0.05483012198482028,0.9873879333,0.2300490256660265,,1,rpt_0.05C,13,2,1,-0.19429643,0.0
16126,4.039832,716100.4593236473,-0.011982452,0.0,0.2578448816,0.05537177254366286,0.9873879333,0.2322380032075706,,1,rpt_0.05C,13,2,1,-0.19475698,0.0
16127,4.037044,716263.5435993415,-0.011990056,0.0,0.2578448816,0.05591470699297721,0.9873879333,0.2344306402514057,,1,rpt_0.05C,13,2,1,-0.19724771,0.0
16128,4.0342565,716428.7134926997,-0.011993591,0.0,0.2578448816,0.056464584991081375,0.9873879333,0.23664977031981863,,1,rpt_0.05C,13,2,1,-0.19754203,0.0
16129,4.031469,716594.1304628006,-0.011973342,0.0,0.2578448816,0.05701528344205114,0.9873879333,0.23887067336743928,,1,rpt_0.05C,13,2,1,-0.18763676,0.0
16130,4.028681,716751.2521593185,-0.011974816,0.0,0.2578448816,0.05753836845098666,0.9873879333,0.24097874087248078,,1,rpt_0.05C,13,2,1,-0.19121023,0.0
16131,4.025893,716911.3660299169,-0.01198176,0.0,0.2578448816,0.0580714154298599,0.9873879333,0.24312549129765226,,1,rpt_0.05C,13,2,1,-0.1971463,0.0
16132,4.0231056,717076.4514328657,-0.011970703,0.0,0.2578448816,0.058621010682524975,0.9873879333000001,0.24533733394602675,,1,rpt_0.05C,13,2,1,-0.18711363,1.9912505e-14
16133,4.0203176,717233.1343880617,-0.011993591,0.0,0.25784488159999996,0.05914263735326402,0.9873879332999999,0.2474351785098196,,1,rpt_0.05C,13,2,1,-0.19389762,-3.982501e-14
16134,4.01753,717395.4987462426,-0.011993591,0.0,0.2578448816000001,0.059683176121215625,0.9873879333000002,0.24960759961062873,,1,rpt_0.05C,13,2,1,-0.19610558,1.9912505e-14
16135,4.0147424,717559.7119539079,-0.012010602,0.0,0.2578448816,0.060229870158031884,0.9873879333,0.25180321322349364,,1,rpt_0.05C,13,2,1,-0.19383377,0.0
16136,4.0119543,717722.0226221192,-0.011983033,0.0,0.2578448816,0.06077023092481172,0.9873879333,0.2539718722402238,,1,rpt_0.05C,13,2,1,-0.18602629,-1.9912505e-14
16137,4.0091667,717877.7962788076,-0.011987438,0.0,0.2578448816000001,0.06128882635507608,0.9873879333,0.25605174332468683,,1,rpt_0.05C,13,2,1,-0.19155198,1.9912505e-14
16138,4.006379,718038.1958967936,-0.011970703,0.0,0.2578448816,0.061822826066383105,0.9873879333,0.25819194620669,,1,rpt_0.05C,13,2,1,-0.20577306,1.9912505e-14
16139,4.003591,718210.5047895792,-0.012008308,0.0,0.25784488159999996,0.06239647059412322,0.9873879333,0.26048939346113714,,1,rpt_0.05C,13,2,1,-0.182355,-1.9912505e-14
16140,4.0008035,718363.2029984969,-0.011991563,0.0,0.2578448816,0.06290483136115968,0.9873879333,0.2625239674100297,,1,rpt_0.05C,13,2,1,-0.197701,0.0
16141,3.9980156,718528.7524634984,-0.01201648,0.0,0.2578448816,0.06345597301675526,0.9873879333,0.26472827112220926,,1,rpt_0.05C,13,2,1,-0.19753724,0.0
16142,3.995228,718694.1645622496,-0.011993591,0.0,0.2578448816,0.06400665814471589,0.9873879333000001,0.2669291849595667,,1,rpt_0.05C,13,2,1,-0.19089635,0.0
16143,3.9924402,718854.0164378757,-0.011993591,0.0,0.2578448816,0.06453883010515399,0.9873879333,0.2690546252180446,,1,rpt_0.05C,13,2,1,-0.19905598,0.0
16144,3.9896524,719020.7001568762,-0.011993591,0.0,0.2578448816,0.06509374910506774,0.9873879333,0.27126936014336495,,1,rpt_0.05C,13,2,1,-0.18646513,0.0
16145,3.9868648,719176.8421017034,-0.011993591,0.0,0.2578448816,0.06561356790644358,0.9873879333,0.2733425617790788,,1,rpt_0.05C,13,2,1,-0.20066305,0.0
16146,3.984077,719344.8710846694,-0.011993591,0.0,0.2578448816,0.0661729670030812,0.9873879333,0.2755720717252358,,1,rpt_0.05C,13,2,1,-0.19861722,0.0
16147,3.9812891,719511.1870022187,-0.011993591,0.0,0.2578448816,0.06672666282962635,0.9873879333,0.2777772887977096,,1,rpt_0.05C,13,2,1,-0.1953568,0.0
